iter	Passed	Remaining
932	4094	1171
933	4097	1166
934	4100	1162
935	4103	1157
936	4106	1152
937	4109	1147
938	4112	1143
939	4115	1138
940	4120	1134
941	4124	1129
942	4129	1125
943	4132	1120
944	4135	1116
945	4139	1111
946	4142	1106
947	4145	1102
948	4149	1097
949	4153	1093
950	4157	1088
951	4160	1083
952	4163	1079
953	4166	1074
954	4169	1069
955	4172	1064
956	4175	1060
957	4178	1055
958	4181	1050
959	4184	1046
960	4187	1041
961	4190	1036
962	4193	1032
963	4196	1027
964	4199	1022
965	4202	1018
966	4205	1013
967	4208	1008
968	4211	1004
969	4214	999
970	4217	994
971	4221	990
972	4226	986
973	4229	981
974	4232	976
975	4236	972
976	4238	967
977	4242	962
978	4245	958
979	4248	953
980	4251	949
981	4254	944
982	4257	939
983	4260	935
984	4263	930
985	4266	925
986	4268	921
987	4272	916
988	4275	912
989	4278	907
990	4281	902
991	4284	898
992	4287	893
993	4290	889
994	4293	884
995	4296	880
996	4299	875
997	4302	870
998	4305	866
999	4309	861
1000	4312	857
1001	4316	852
1002	4322	848
1003	4326	844
1004	4330	840
1005	4334	835
1006	4337	831
1007	4340	826
1008	4343	822
1009	4346	817
1010	4349	813
1011	4352	808
1012	4355	804
1013	4358	799
1014	4361	794
1015	4364	790
1016	4367	785
1017	4370	781
1018	4373	776
1019	4376	772
1020	4379	767
1021	4382	763
1022	4385	758
1023	4388	754
1024	4391	749
1025	4394	745
1026	4397	740
1027	4400	736
1028	4403	731
1029	4406	727
1030	4409	722
1031	4412	718
1032	4436	717
1033	4442	713
1034	4445	708
1035	4448	704
1036	4451	699
1037	4454	695
1038	4456	690
1039	4459	686
1040	4464	681
1041	4467	677
1042	4470	673
1043	4476	668
1044	4487	665
1045	4496	661
1046	4501	657
1047	4505	653
1048	4508	648
1049	4513	644
1050	4542	644
1051	4552	640
1052	4561	636
1053	4570	633
1054	4586	630
1055	4600	627
1056	4611	623
1057	4620	620
1058	4629	616
1059	4637	612
1060	4642	608
1061	4645	603
1062	4649	599
1063	4652	594
1064	4655	590
1065	4660	585
1066	4664	581
1067	4670	577
1068	4673	572
1069	4676	568
1070	4680	563
1071	4683	559
1072	4686	554
1073	4689	550
1074	4692	545
1075	4695	541
1076	4699	536
1077	4702	532
1078	4705	527
1079	4708	523
1080	4711	518
1081	4715	514
1082	4719	509
1083	4723	505
1084	4726	500
1085	4729	496
1086	4732	491
1087	4735	487
1088	4738	482
1089	4741	478
1090	4744	473
1091	4747	469
1092	4750	465
1093	4753	460
1094	4756	456
1095	4761	451
1096	4764	447
1097	4767	442
1098	4770	438
1099	4773	433
1100	4776	429
1101	4779	425
1102	4782	420
1103	4786	416
1104	4791	411
1105	4798	407
1106	4802	403
1107	4806	399
1108	4810	394
1109	4813	390
1110	4817	385
1111	4822	381
1112	4825	377
1113	4828	372
1114	4831	368
1115	4834	363
1116	4837	359
1117	4840	355
1118	4843	350
